date,month,year,is_holiday,is_weekend,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,moonphase,Clear,Overcast,Partiallycloudy,Rain,Snow,daytime_interval,lag_1_Offense Count,lag_2_Offense Count,lag_3_Offense Count,lag_4_Offense Count,lag_5_Offense Count,lag_6_Offense Count,lag_7_Offense Count,week_Friday,week_Monday,week_Saturday,week_Sunday,week_Thursday,week_Tuesday,week_Wednesday,season_Autumn,season_Spring,season_Summer,season_Winter,Offense Count
2023-08-01,8,2023,0,0,99.6,82.4,88.7,106.5,89.6,96.6,73.4,63.0,0.0,0.0,21.9,14.4,193.8,1016.5,38.6,9.9,186.7,9.0,0.5,0,0,1,0,0,48814.0,607.0,661.0,693.0,690.0,683.0,729.0,705.0,False,False,False,False,False,True,False,False,False,True,False,702
2023-08-02,8,2023,0,0,98.9,80.4,88.4,102.4,85.7,94.4,71.6,61.2,0.0,0.0,23.0,17.6,164.5,1016.4,21.5,9.9,217.7,9.0,0.53,0,0,1,0,0,48734.0,702.0,607.0,661.0,693.0,690.0,683.0,729.0,False,False,False,False,False,False,True,False,False,True,False,703
2023-08-03,8,2023,0,0,98.5,82.2,88.1,107.2,90.5,96.8,74.7,66.7,0.0,0.0,31.7,19.7,174.1,1015.3,19.6,9.9,202.8,10.0,0.57,1,0,0,0,0,48653.0,703.0,702.0,607.0,661.0,693.0,690.0,683.0,False,False,False,False,True,False,False,False,False,True,False,654
2023-08-04,8,2023,0,0,100.4,82.3,88.4,106.7,90.7,97.0,74.3,65.8,0.0,0.0,30.0,23.1,191.5,1013.9,26.5,9.9,206.0,9.0,0.6,0,0,1,0,0,48571.0,654.0,703.0,702.0,607.0,661.0,693.0,690.0,True,False,False,False,False,False,False,False,False,True,False,729
2023-08-05,8,2023,0,1,99.7,80.7,88.3,106.2,87.4,96.8,74.4,66.3,0.0,0.0,27.7,20.7,195.1,1014.3,25.4,9.8,202.2,10.0,0.63,0,0,1,0,0,48488.0,729.0,654.0,703.0,702.0,607.0,661.0,693.0,False,False,True,False,False,False,False,False,False,True,False,727
2023-08-06,8,2023,0,1,98.8,80.7,88.1,105.8,87.5,96.2,74.3,67.1,0.0,0.0,30.0,18.2,190.8,1014.9,23.3,9.9,225.1,10.0,0.67,0,0,1,0,0,48404.0,727.0,729.0,654.0,703.0,702.0,607.0,661.0,False,False,False,True,False,False,False,False,False,True,False,723
2023-08-07,8,2023,0,0,100.3,82.3,88.6,109.2,91.0,98.4,75.5,68.4,0.0,0.0,30.0,21.2,186.3,1015.3,24.8,9.8,128.6,8.0,0.7,0,0,1,0,0,48318.0,723.0,727.0,729.0,654.0,703.0,702.0,607.0,False,True,False,False,False,False,False,False,False,True,False,683
2023-08-08,8,2023,0,0,98.9,80.8,88.0,108.3,88.0,96.7,74.8,68.0,0.0,0.0,29.4,21.5,187.5,1014.7,25.8,9.8,197.3,10.0,0.75,0,0,1,0,0,48232.0,683.0,723.0,727.0,729.0,654.0,703.0,702.0,False,False,False,False,False,True,False,False,False,True,False,670
2023-08-09,8,2023,0,0,97.3,82.3,88.0,106.6,92.2,97.9,75.8,70.0,0.0,0.0,33.8,24.6,186.4,1011.8,39.6,9.5,231.0,10.0,0.77,0,0,1,0,0,48145.0,670.0,683.0,723.0,727.0,729.0,654.0,703.0,False,False,False,False,False,False,True,False,False,True,False,639
2023-08-10,8,2023,0,0,98.1,82.3,88.6,107.2,90.6,98.5,75.6,68.0,0.0,0.0,28.9,22.2,192.3,1010.8,28.0,9.3,223.8,9.0,0.81,0,0,1,0,0,48057.0,639.0,670.0,683.0,723.0,727.0,729.0,654.0,False,False,False,False,True,False,False,False,False,True,False,660
