date,month,year,is_holiday,is_weekend,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,moonphase,Clear,Overcast,Partiallycloudy,Rain,Snow,daytime_interval,lag_1_Offense Count,lag_2_Offense Count,lag_3_Offense Count,lag_4_Offense Count,lag_5_Offense Count,lag_6_Offense Count,lag_7_Offense Count,week_Friday,week_Monday,week_Saturday,week_Sunday,week_Thursday,week_Tuesday,week_Wednesday,season_Autumn,season_Spring,season_Summer,season_Winter,Offense Count
2023-09-01,9,2023,0,0,97.8,80.2,87.8,95.8,82.7,88.9,62.8,46.1,0.0,0.0,21.9,13.5,88.0,1013.8,26.3,9.9,165.5,8.0,0.55,0,0,1,0,0,45928.0,568.0,590.0,624.0,647.0,647.0,685.0,689.0,True,False,False,False,False,False,False,True,False,False,False,706.0
2023-09-02,9,2023,0,1,96.9,80.5,87.2,99.7,84.9,92.6,70.9,60.6,0.0,0.0,21.9,16.2,128.9,1015.1,39.9,9.9,164.5,9.0,0.59,0,0,1,0,0,45825.0,706.0,568.0,590.0,624.0,647.0,647.0,685.0,False,False,True,False,False,False,False,True,False,False,False,719.0
2023-09-03,9,2023,0,1,96.4,80.6,86.5,101.5,86.5,93.2,73.1,66.9,0.0,0.0,32.2,21.6,168.3,1014.0,23.2,9.9,189.8,9.0,0.62,0,0,1,0,0,45722.0,719.0,706.0,568.0,590.0,624.0,647.0,647.0,False,False,False,True,False,False,False,True,False,False,False,728.0
2023-09-04,9,2023,1,0,92.1,80.7,85.9,102.3,87.4,94.7,75.3,71.7,0.1,12.5,27.5,18.2,163.1,1011.6,42.4,9.8,139.8,9.0,0.65,0,0,1,1,0,45619.0,728.0,719.0,706.0,568.0,590.0,624.0,647.0,False,True,False,False,False,False,False,True,False,False,False,688.0
2023-09-05,9,2023,0,0,96.1,82.5,87.3,106.6,92.6,97.5,76.2,71.5,0.004,4.17,27.7,22.1,160.0,1012.2,42.2,9.7,135.1,9.0,0.69,0,0,1,1,0,45515.0,688.0,728.0,719.0,706.0,568.0,590.0,624.0,False,False,False,False,False,True,False,True,False,False,False,708.0
2023-09-06,9,2023,0,0,98.6,82.0,88.1,104.0,90.1,95.8,73.6,65.1,0.0,0.0,25.3,16.4,165.9,1013.9,24.4,9.8,167.7,9.0,0.75,0,0,1,0,0,45410.0,708.0,688.0,728.0,719.0,706.0,568.0,590.0,False,False,False,False,False,False,True,True,False,False,False,706.0
2023-09-07,9,2023,0,0,99.1,80.7,88.5,106.4,86.5,96.2,73.4,63.6,0.0,0.0,21.9,18.2,208.9,1012.9,31.4,9.9,152.8,9.0,0.75,0,0,1,0,0,45306.0,706.0,708.0,688.0,728.0,719.0,706.0,568.0,False,False,False,False,True,False,False,True,False,False,False,712.0
2023-09-08,9,2023,0,0,101.6,80.7,87.6,105.7,87.3,95.5,74.0,67.2,0.0,0.0,40.5,25.3,183.8,1012.8,13.9,9.8,183.7,9.0,0.79,1,0,0,0,0,45202.0,712.0,706.0,708.0,688.0,728.0,719.0,706.0,True,False,False,False,False,False,False,True,False,False,False,726.0
2023-09-09,9,2023,0,1,95.3,72.4,85.4,95.9,72.4,88.5,67.8,59.4,0.09,12.5,42.5,15.7,92.5,1014.7,28.3,9.7,161.1,9.0,0.82,0,0,1,1,0,45097.0,726.0,712.0,706.0,708.0,688.0,728.0,719.0,False,False,True,False,False,False,False,True,False,False,False,717.0
2023-09-10,9,2023,0,1,93.6,77.2,85.6,90.9,77.2,85.2,58.5,42.5,0.0,0.0,26.4,13.8,60.6,1015.9,41.1,9.9,174.5,9.0,0.85,0,0,1,0,0,44991.0,717.0,726.0,712.0,706.0,708.0,688.0,728.0,False,False,False,True,False,False,False,True,False,False,False,712.0
2023-09-11,9,2023,0,0,94.6,73.3,83.6,92.9,73.3,83.9,60.2,46.8,0.0,0.0,19.7,16.7,110.3,1015.0,22.7,9.9,173.3,9.0,0.89,0,0,1,0,0,44886.0,712.0,717.0,726.0,712.0,706.0,708.0,688.0,False,True,False,False,False,False,False,True,False,False,False,722.0
2023-09-12,9,2023,0,0,96.0,78.4,85.7,96.8,78.4,88.8,68.0,57.4,0.0,0.0,23.0,17.1,177.1,1013.9,48.7,9.9,164.7,9.0,0.92,0,0,1,0,0,44781.0,722.0,712.0,717.0,726.0,712.0,706.0,708.0,False,False,False,False,False,True,False,True,False,False,False,720.0
2023-09-13,9,2023,0,0,93.4,79.2,84.9,96.2,79.2,88.4,69.7,62.2,0.0,0.0,23.0,10.9,242.3,1013.4,64.1,9.9,112.2,6.0,0.95,0,0,1,0,0,44675.0,720.0,722.0,712.0,717.0,726.0,712.0,706.0,False,False,False,False,False,False,True,True,False,False,False,729.0
2023-09-14,9,2023,0,0,86.6,76.4,79.1,94.5,76.4,80.4,73.4,83.3,0.284,29.17,34.4,12.0,112.5,1013.2,67.9,8.2,53.7,2.0,0.0,0,0,1,1,0,44568.0,729.0,720.0,722.0,712.0,717.0,726.0,712.0,False,False,False,False,True,False,False,True,False,False,False,721.0
2023-09-15,9,2023,0,0,91.3,73.6,78.0,98.8,73.6,79.6,72.3,83.6,0.364,45.83,44.2,19.0,87.8,1014.2,54.9,8.1,67.4,6.0,0.02,0,0,1,1,0,44463.0,721.0,729.0,720.0,722.0,712.0,717.0,726.0,True,False,False,False,False,False,False,True,False,False,False,739.0
2023-09-16,9,2023,0,1,90.5,73.6,78.1,96.2,73.6,79.5,71.1,80.7,0.145,20.83,23.3,12.0,25.6,1015.2,28.0,9.4,83.2,8.0,0.06,0,0,1,1,0,44356.0,739.0,721.0,729.0,720.0,722.0,712.0,717.0,False,False,True,False,False,False,False,True,False,False,False,725.0
2023-09-17,9,2023,0,1,91.6,75.0,82.4,91.2,75.0,82.5,64.7,59.2,0.002,4.17,17.2,9.4,13.8,1015.6,34.9,9.9,162.3,8.0,0.09,0,0,1,1,0,44250.0,725.0,739.0,721.0,729.0,720.0,722.0,712.0,False,False,False,True,False,False,False,True,False,False,False,698.0
2023-09-18,9,2023,0,0,92.5,76.5,83.8,89.3,76.5,83.0,58.6,45.5,0.0,0.0,17.2,11.4,87.1,1015.5,51.2,9.9,168.6,9.0,0.13,0,0,1,0,0,44143.0,698.0,725.0,739.0,721.0,729.0,720.0,722.0,False,True,False,False,False,False,False,True,False,False,False,733.0
2023-09-19,9,2023,0,0,91.5,76.4,83.0,88.9,76.4,82.7,60.7,49.0,0.0,0.0,21.9,15.2,126.1,1013.6,38.7,9.9,171.4,9.0,0.16,0,0,1,0,0,44037.0,733.0,698.0,725.0,739.0,721.0,729.0,720.0,False,False,False,False,False,True,False,True,False,False,False,719.0
2023-09-20,9,2023,0,0,91.5,77.8,83.5,93.3,77.8,85.7,69.1,63.6,0.0,0.0,23.0,16.3,141.6,1012.2,32.9,9.9,106.5,9.0,0.2,0,0,1,0,0,43930.0,719.0,733.0,698.0,725.0,739.0,721.0,729.0,False,False,False,False,False,False,True,True,False,False,False,734.0
2023-09-21,9,2023,0,0,94.0,80.1,85.6,101.7,85.2,92.4,73.7,69.5,0.0,0.0,22.1,17.5,134.3,1014.0,28.9,9.9,116.3,9.0,0.23,0,0,1,0,0,43823.0,734.0,719.0,733.0,698.0,725.0,739.0,721.0,False,False,False,False,True,False,False,True,False,False,False,732.0
2023-09-22,9,2023,0,0,94.1,80.2,85.3,99.4,85.5,91.2,72.8,68.2,0.0,0.0,29.7,17.2,158.7,1013.7,20.2,9.9,138.1,9.0,0.25,0,0,1,0,0,43717.0,732.0,734.0,719.0,733.0,698.0,725.0,739.0,True,False,False,False,False,False,False,True,False,False,False,748.0
2023-09-23,9,2023,0,1,94.4,78.7,85.2,99.8,78.7,90.6,73.1,69.4,0.0,0.0,23.0,16.9,164.7,1012.2,20.3,9.9,128.1,8.0,0.3,0,0,1,0,0,43610.0,748.0,732.0,734.0,719.0,733.0,698.0,725.0,False,False,True,False,False,False,False,True,False,False,False,733.0
2023-09-24,9,2023,0,1,95.3,78.6,84.9,103.6,78.6,90.9,73.8,71.2,0.0,0.0,32.0,22.9,173.4,1011.2,19.7,9.9,74.5,4.0,0.34,1,0,0,0,0,43503.0,733.0,748.0,732.0,734.0,719.0,733.0,698.0,False,False,False,True,False,False,False,True,False,False,False,700.0
2023-09-25,9,2023,0,0,93.6,73.8,81.7,98.6,73.8,86.0,72.5,75.2,0.626,33.33,23.4,13.7,153.0,1014.2,58.5,9.3,136.9,8.0,0.37,0,0,1,1,0,43397.0,700.0,733.0,748.0,732.0,734.0,719.0,733.0,False,True,False,False,False,False,False,True,False,False,False,726.0
2023-09-26,9,2023,0,0,91.6,75.0,81.4,97.2,75.0,84.1,70.7,72.2,0.0,0.0,35.6,11.5,49.1,1015.5,43.6,9.8,134.7,9.0,0.41,0,0,1,0,0,43289.0,726.0,700.0,733.0,748.0,732.0,734.0,719.0,False,False,False,False,False,True,False,True,False,False,False,715.0
