date,week,sunrise_hour,sunrise_min,sunrise_sec,sunset_hour,sunset_min,sunset_sec,season,is_holiday,is_weekend,snow,snowdepth,temp,precip,precipprob,preciptype,windgust,winddir,solarradiation,moonphase,conditions,Offense Count
2022-03-08,Tuesday,6,39,17,18,25,32,Spring,0,0,0.0,0.0,45.9,0.074,100,rain,33.2,3.7,21.1,0.19,rain,628
2013-04-19,Friday,6,50,14,19,51,12,Spring,0,0,0.0,0.0,55.7,0.0,0,none,31.7,5.4,323.1,0.3,clear,397
2010-03-22,Monday,7,22,49,19,34,11,Spring,0,0,0.0,0.0,56.2,0.0,0,none,20.8,285.4,290.5,0.24,clear,347
2012-03-14,Wednesday,7,31,46,19,29,37,Spring,0,0,0.0,0.0,73.2,0.002,100,rain,26.4,160.9,205.2,0.75,rain,342
2014-11-05,Wednesday,6,38,6,17,31,38,Autumn,0,0,0.0,0.0,70.1,0.437,100,rain,21.9,57.1,,0.46,rain,339
2015-10-09,Friday,7,19,15,18,57,49,Autumn,0,0,0.0,0.0,79.1,0.0,0,none,36.7,19.7,142.8,0.89,cloudy,323
2019-05-19,Sunday,6,26,23,20,9,53,Spring,0,1,0.0,0.0,83.9,0.002,100,rain,18.3,167.1,194.2,0.53,rain,645
2016-11-08,Tuesday,6,40,53,17,29,16,Autumn,0,0,0.0,0.0,67.2,0.0,0,none,0.0,28.1,71.3,0.3,cloudy,351
2019-12-03,Tuesday,7,0,44,17,21,40,Winter,0,0,0.0,0.0,59.7,0.0,0,none,15.0,220.9,139.8,0.23,clear,630
2022-03-25,Friday,7,19,8,19,36,4,Spring,0,0,0.0,0.0,67.8,0.0,0,none,23.0,253.5,198.3,0.75,cloudy,752
2012-10-31,Wednesday,7,34,37,18,35,3,Autumn,0,0,0.0,0.0,73.3,0.0,0,none,16.1,255.6,207.9,0.56,clear,388
2021-03-26,Friday,7,17,38,19,36,48,Spring,0,0,0.0,0.0,69.0,0.0,0,none,25.3,100.5,195.4,0.43,clear,710
2020-05-22,Friday,6,24,35,20,12,10,Spring,0,0,0.0,0.0,83.1,0.0,0,none,26.4,158.3,180.2,0.0,cloudy,793
2010-06-02,Wednesday,6,21,13,20,17,57,Summer,0,0,0.0,0.0,80.6,0.005,100,rain,16.1,168.4,133.6,0.69,rain,412
2019-07-27,Saturday,6,37,53,20,17,48,Summer,0,1,0.0,0.0,85.8,0.0,0,none,12.8,74.4,214.3,0.85,cloudy,689
2023-01-26,Thursday,7,14,33,17,53,51,Winter,0,0,0.0,0.0,47.5,0.0,0,none,19.7,342.0,143.4,0.16,clear,674
2013-03-19,Tuesday,7,26,5,19,32,32,Spring,0,0,0.0,0.0,69.8,0.0,0,none,26.2,110.6,267.2,0.25,cloudy,335
2022-10-20,Thursday,7,26,30,18,45,34,Autumn,0,0,0.0,0.0,66.5,0.0,0,none,19.7,227.3,164.8,0.85,cloudy,681
2022-09-27,Tuesday,7,12,34,19,11,51,Autumn,0,0,0.0,0.0,77.9,0.0,0,none,21.9,52.4,190.9,0.06,clear,644
2020-08-07,Friday,6,44,51,20,9,7,Summer,0,0,0.0,0.0,85.5,0.0,0,none,18.3,159.9,204.4,0.63,cloudy,705
2013-11-25,Monday,6,54,40,17,22,18,Autumn,0,0,0.0,0.0,41.1,0.951,100,rain,28.1,359.5,49.3,0.75,rain,345
2018-03-11,Sunday,7,35,49,19,27,25,Spring,0,1,0.0,0.0,71.3,0.001,100,rain,33.3,333.5,25.7,0.81,rain,244
2016-09-29,Thursday,7,13,54,19,8,49,Autumn,0,0,0.0,0.0,77.5,0.128,100,rain,24.2,313.2,262.6,0.95,rain,331
2012-12-30,Sunday,7,16,31,17,32,12,Winter,0,1,0.0,0.0,44.3,0.0,0,none,18.3,100.1,133.5,0.58,clear,295
2014-04-14,Monday,6,55,52,19,47,59,Spring,0,0,0.0,0.0,62.0,0.713,100,rain,31.2,341.2,,0.48,rain,378
2017-09-23,Saturday,7,10,27,19,16,29,Autumn,0,1,0.0,0.0,82.6,0.0,0,none,18.3,45.1,263.1,0.11,cloudy,283
2013-12-07,Saturday,7,4,6,17,22,3,Winter,0,1,0.0,0.0,35.1,0.0,0,none,26.1,353.8,80.8,0.16,cloudy,341
2023-02-07,Tuesday,7,7,35,18,4,4,Winter,0,0,0.0,0.0,67.1,0.0,0,rain,30.1,131.5,45.8,0.57,cloudy,732
2022-11-15,Tuesday,6,46,15,17,25,41,Autumn,0,0,0.0,0.0,47.2,0.0,0,none,32.9,349.6,118.5,0.74,cloudy,644
2018-02-16,Friday,7,0,4,18,11,23,Winter,0,0,0.0,0.0,72.6,0.0,0,none,16.1,224.8,57.6,0.03,cloudy,362
2010-02-01,Monday,7,11,23,17,59,8,Winter,0,0,0.0,0.0,44.0,0.011,100,rain,0.0,58.8,86.5,0.58,rain,376
2015-08-22,Saturday,6,53,0,19,55,18,Summer,0,1,0.0,0.0,83.3,0.02,100,rain,26.4,133.9,134.6,0.25,rain,350
2012-07-26,Thursday,6,37,41,20,17,57,Summer,0,0,0.0,0.0,85.8,0.0,0,none,23.0,208.2,215.7,0.25,cloudy,382
2013-03-21,Thursday,7,23,41,19,33,45,Spring,0,0,0.0,0.0,63.9,0.0,0,none,30.2,168.9,235.8,0.32,cloudy,309
2015-02-25,Wednesday,6,51,38,18,17,51,Winter,0,0,0.0,0.0,42.1,0.013,100,rain,21.9,326.9,167.6,0.25,rain,290
2022-02-18,Friday,6,58,14,18,12,57,Winter,0,0,0.0,0.0,44.4,0.0,0,none,35.7,348.3,153.5,0.57,cloudy,781
2010-11-06,Saturday,7,38,52,18,30,56,Autumn,0,1,0.0,0.0,56.2,0.0,0,none,0.0,79.2,212.5,0.02,clear,345
2021-01-29,Friday,7,12,52,17,56,51,Winter,0,0,0.0,0.0,53.5,0.0,0,none,20.8,119.6,48.5,0.53,cloudy,698
2020-08-01,Saturday,6,41,18,20,13,54,Summer,0,1,0.0,0.0,78.4,0.411,100,rain,23.0,235.4,75.8,0.43,rain,720
2011-05-11,Wednesday,6,31,16,20,4,48,Spring,0,0,0.0,0.0,77.1,0.004,100,rain,31.4,199.2,172.5,0.3,rain,359
2010-07-25,Sunday,6,36,47,20,18,52,Summer,0,1,0.0,0.0,84.5,0.001,100,rain,0.0,20.4,254.7,0.5,rain,372
2017-03-18,Saturday,7,27,15,19,31,55,Spring,0,1,0.0,0.0,72.0,0.0,0,none,20.8,156.9,255.7,0.7,cloudy,333
2019-01-25,Friday,7,14,57,17,52,56,Winter,0,0,0.0,0.0,52.0,0.0,0,none,17.2,87.1,156.7,0.65,clear,584
2020-05-06,Wednesday,6,34,23,20,2,9,Spring,0,0,0.0,0.0,75.7,0.464,100,rain,25.3,59.7,216.3,0.47,rain,712
2010-11-02,Tuesday,7,35,46,18,33,53,Autumn,0,0,0.0,0.0,62.3,1.243,100,rain,39.1,336.0,166.6,0.88,rain,347
2020-03-31,Tuesday,7,11,21,19,39,55,Spring,0,0,0.0,0.0,72.2,0.0,0,none,29.9,333.0,214.2,0.25,cloudy,559
2014-09-27,Saturday,7,12,30,19,11,53,Autumn,0,1,0.0,0.0,77.0,0.01,100,rain,19.5,46.2,,0.12,rain,356
2012-04-23,Monday,6,45,56,19,53,51,Spring,0,0,0.0,0.0,69.8,0.0,0,none,24.2,35.8,328.0,0.08,clear,355
2017-04-27,Thursday,6,42,18,19,56,12,Spring,0,0,0.0,0.0,68.5,0.0,0,none,20.8,78.5,332.1,0.04,clear,351
2021-06-27,Sunday,6,23,21,20,25,58,Summer,0,1,0.0,0.0,83.4,0.075,100,rain,29.0,119.5,195.8,0.6,rain,675
2010-07-31,Saturday,6,40,20,20,15,0,Summer,0,1,0.0,0.0,85.6,0.0,0,none,0.0,250.0,312.7,0.69,clear,396
2020-01-14,Tuesday,7,17,51,17,43,15,Winter,0,0,0.0,0.0,73.2,0.013,100,rain,21.9,195.7,60.9,0.64,rain,701
2011-11-11,Friday,6,42,41,17,27,55,Autumn,1,0,0.0,0.0,58.3,0.0,0,none,18.3,204.7,206.2,0.53,clear,373
2011-07-20,Wednesday,6,33,47,20,21,36,Summer,0,0,0.0,0.0,84.3,0.007,100,rain,19.5,156.0,309.5,0.68,rain,385
2015-09-27,Sunday,7,12,21,19,12,11,Autumn,0,1,0.0,0.0,73.8,0.021,100,rain,20.8,349.5,72.8,0.5,rain,264
2021-06-06,Sunday,6,20,38,20,20,6,Summer,0,1,0.0,0.0,80.3,0.019,100,rain,24.2,160.8,153.1,0.88,rain,712
2011-11-12,Saturday,6,43,30,17,27,22,Autumn,0,1,0.0,0.0,66.8,0.0,0,none,31.1,182.6,127.9,0.57,cloudy,348
2010-06-30,Wednesday,6,24,13,20,26,1,Summer,0,0,0.0,0.0,79.2,0.052,100,rain,27.8,60.6,105.1,0.64,rain,374
2017-03-05,Sunday,6,42,25,18,23,41,Spring,0,1,0.0,0.0,64.6,1.451,100,rain,30.4,120.4,142.7,0.25,rain,273
2014-12-13,Saturday,7,8,6,17,23,22,Winter,0,1,0.0,0.0,64.3,0.0,0,none,21.9,96.4,,0.73,cloudy,347
